Experiment,Modalities,tIoU,mIoU,Overlap,R@1_IoU=0.3,R@1_IoU=0.5,R@5_IoU=0.3,R@5_IoU=0.5,R@10_IoU=0.3,R@10_IoU=0.5,SimpleRecall@1,SimpleRecall@5,SimpleRecall@10
text_only,['text'],0.03021901258403048,0.03021901258403048,0.0716666666666666,0.041666666666666664,0.016666666666666666,0.10833333333333334,0.016666666666666666,0.16666666666666666,0.06666666666666667,0.10944392615016527,0.33925735974925,0.526163711526903
video_only,['video'],0.005870570581417637,0.005870570581417637,0.031666666666666676,0.008333333333333333,0.0,0.05,0.0,0.09166666666666666,0.03333333333333333,0.02341421219744529,0.0948962120244275,0.20236757065416905
video_text,"['video', 'text']",0.006578418705722751,0.006578418705722751,0.04833333333333332,0.008333333333333333,0.0,0.06666666666666667,0.025,0.125,0.041666666666666664,0.03275586708196553,0.17423074465449828,0.331126125843253
