Experiment,Modalities,tIoU,mIoU,Overlap,R@1_IoU=0.3,R@1_IoU=0.5,R@5_IoU=0.3,R@5_IoU=0.5,R@10_IoU=0.3,R@10_IoU=0.5,SimpleRecall@1,SimpleRecall@5,SimpleRecall@10
text_only,['text'],0.03754131908243648,0.03754131908243648,0.06999999999999998,0.058333333333333334,0.0,0.1,0.025,0.175,0.058333333333333334,0.0700110137068969,0.15283466013714025,0.24940867258525032
video_only,['video'],0.001945526805857436,0.001945526805857436,0.015833333333333338,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.001945526805857436,0.02464879378799233,0.044250042595688
video_text,"['video', 'text']",0.015297976481517013,0.015297976481517013,0.05416666666666665,0.016666666666666666,0.008333333333333333,0.09166666666666666,0.025,0.11666666666666667,0.03333333333333333,0.021512520918047975,0.12109304377218294,0.19606499315840528
