Experiment,Modalities,tIoU,mIoU,Overlap,R@1_IoU=0.3,R@1_IoU=0.5,R@5_IoU=0.3,R@5_IoU=0.5,R@10_IoU=0.3,R@10_IoU=0.5,SimpleRecall@1,SimpleRecall@5,SimpleRecall@10
text_only,['text'],0.01896828632407094,0.01896828632407094,0.04027777777777778,0.025,0.008333333333333333,0.041666666666666664,0.016666666666666666,0.10833333333333334,0.05,0.031446639670103076,0.09055036998739982,0.21173051212782867
video_only,['video'],0.004785164510291595,0.004785164510291595,0.022222222222222233,0.0,0.0,0.025,0.0,0.058333333333333334,0.008333333333333333,0.006492334314480535,0.04165214448732509,0.07988400799784096
video_text,"['video', 'text']",0.011967136514164907,0.011967136514164907,0.03194444444444445,0.016666666666666666,0.0,0.06666666666666667,0.0,0.1,0.008333333333333333,0.018234443052134397,0.09382523202718378,0.14076427688427054
