Experiment,Modalities,tIoU,mIoU,Overlap,R@1_IoU=0.3,R@1_IoU=0.5,R@5_IoU=0.3,R@5_IoU=0.5,R@10_IoU=0.3,R@10_IoU=0.5,SimpleRecall@1,SimpleRecall@5,SimpleRecall@10
text_only,['text'],0.022370709344835295,0.022370709344835295,0.06666666666666662,0.025,0.0,0.058333333333333334,0.008333333333333333,0.125,0.041666666666666664,0.040189108892788324,0.13007996664024282,0.23013235757784253
video_only,['video'],0.001945526805857436,0.001945526805857436,0.015833333333333338,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.001945526805857436,0.02464879378799233,0.044250042595688
video_text,"['video', 'text']",0.004907161560109148,0.004907161560109148,0.05166666666666664,0.0,0.0,0.058333333333333334,0.025,0.08333333333333333,0.025,0.00493667409912218,0.0846211111993555,0.17790872308479364
