Experiment,Modalities,tIoU,mIoU,Overlap,R@1_IoU=0.3,R@1_IoU=0.5,R@5_IoU=0.3,R@5_IoU=0.5,R@10_IoU=0.3,R@10_IoU=0.5,SimpleRecall@1,SimpleRecall@5,SimpleRecall@10
text_only,['text'],0.03818729591736382,0.03818729591736382,0.06854166666666664,0.05,0.025,0.08333333333333333,0.025,0.14166666666666666,0.06666666666666667,0.13444392615016526,0.259827613449339,0.4316804377601987
video_only,['video'],0.009197903905896846,0.009197903905896846,0.042708333333333334,0.008333333333333333,0.0,0.058333333333333334,0.008333333333333333,0.08333333333333333,0.025,0.039758123312283185,0.14468088228001744,0.24125947283383536
video_text,"['video', 'text']",0.015616144764163235,0.015616144764163235,0.05770833333333333,0.008333333333333333,0.0,0.075,0.025,0.10833333333333334,0.03333333333333333,0.07097485214003622,0.2329145617760156,0.35234618250511895
